

--- App Pages ---
                       Page Name            User Type  Page ID                                                                                             PAGE FUNCTION  Priority                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Description / Purpose                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Key Features / Elements (Multi-Depth)  Build Status                                                                                                                                                                                                                                                                                                                                            User Story                                                                                                                                                                                                                                                                        Acceptance Criteria  Test Status                                                                                                                                                       AI Dependencies                                                                                                                                                                                                                                                                                                                                                                           antigravity IDE agent prompt              Unnamed: 13               Unnamed: 14                Unnamed: 15
Customer Feedback:
 We actively seek feedback to refine our interactive quote experience and maintain our transparent pricing model.
Document Updates:
 This guide is a living document—subject to regular updates to reflect technological advances, market trends, and process improvements.

By aligning every step—from your initial quote to the final installation—with these guidelines, RHIVE Construction redefines what it means to deliver roofing excellence. We aren’t just installing roofs—we’re building a community based on trust, transparency, and lasting quality.

]
Index: []

--- gen roof guide ---
Empty DataFrame
Columns: [General Roofing Guide

Roofing Basics: An Overview
What is Roofing?: Roofing is the process of covering the top of a building to protect it from weather elements, ensuring safety, insulation, and comfort.
Types of Roofs: Roofs can be residential or commercial, with variations like pitched (sloped) roofs for homes and flat roofs for commercial buildings. For pitched roofing, RHIVE’s manufacturer is Owens Corning. For commercial roofing, we use GAF as our manufacturer for PVC and membrane systems.
Roof Anatomy: Key components of a roof include the decking (base structure), underlayment (protective layer), shingles (outer covering), flashing (waterproofing edges), and vents (for ventilation). For flat roofing systems, additional components include PVC or TPO membrane layers, insulation boards for thermal resistance, and ballast or adhesive systems to secure the membrane.
Roofing Materials and Their Functions
Asphalt Shingles: The most common roofing material; affordable and durable, available in a variety of styles. It is important to note that asphalt shingles are a water-shedding system, not a waterproof system. The granules embedded in the tar act as a protective layer to shed water effectively, rather than forming a completely watertight barrier.
Metal Roofing: Durable and fire-resistant, often used for its long lifespan and energy efficiency.
Tile, Slate, and Wood Shakes: Premium materials known for their aesthetics, durability, and specific design styles.
PVC and Membrane Roofing: Commonly used for flat roofs, providing durability, flexibility, and strong water resistance, especially suitable for commercial applications.
Roof Underlayment: A water-resistant layer between the decking and the shingles that protects against water infiltration.
Flashing and Vents: Flashing seals roof joints and edges to prevent leaks, while vents regulate attic temperature and airflow.
Roof Installation Process
Valley Installation Techniques: In roofing, valleys can be constructed using different methods to direct water off the roof efficiently. Two common methods are the California Cut and the Woven Valley.
California Cut: At RHIVE Construction, we only use the California Cut method. This method involves cutting the shingles to create a clean line down the valley, providing a smooth, aesthetically pleasing finish. It is often used because it is relatively straightforward to install and provides reliable water shedding.
Woven Valley: In a woven valley, shingles from both sides of the valley are interlaced, creating a continuous weave. This method offers excellent water resistance and adds a visually distinct pattern to the valley.
 
Roof Installation Process
Tear-Off: At RHIVE Construction, the installation process for asphalt roofing always begins with tearing off the old roof materials down to the decking. RHIVE does not do layovers, as this allows us to properly inspect the decking for any damage that may need repair before installing new materials. Layovers are like a band-aid solution, covering existing problems rather than addressing them directly. Additionally, layovers typically only provide half the lifespan of what the roofing system can achieve when installed correctly from the decking up.
Preparation and Inspection: Inspect roof decking, If any sheets of OSB are found to be damaged or deteriorating, they must be replaced to ensure a strong foundation for the roofing system. Additionally, identify any slat board decking, which is often seen in older homes. Slat board decking may need reinforcement or replacement to meet modern standards. Measure and calculate material needs, and ensure all safety protocols are followed.
Underlayment Installation: Lay the underlayment across the decking. This protective layer serves as a secondary barrier against water infiltration.
Stages of Shingle Installation:
Starter Shingles: Begin with installing starter shingles along the eaves. These shingles create a foundation for the main shingles and help prevent wind uplift at the roof's edge.
Main Shingles (Body): Install the main asphalt shingles over the underlayment, staggering them to ensure a watertight seal and optimal coverage. The main shingles form the bulk of the roof and provide the primary weather barrier.
Hip and Ridge Shingles: Finish by installing hip and ridge shingles along the roof's ridgelines and hips. These shingles provide a polished look and additional protection to the roof's most vulnerable areas.
Flashing and Vents: Install flashing around roof penetrations such as chimneys and vents to ensure water does not seep into gaps. Add ridge vents and other ventilation components to ensure proper attic airflow.
Safety Guidelines: Key safety practices include using harnesses, working in pairs, and using protective gear like gloves and helmets.
Roofing Systems and Warranties
What is a Roofing System?: A complete roofing system includes several integrated components like shingles, underlayment, and ventilation to ensure durability and efficiency.
Warranties: Roofing warranties can include manufacturer warranties on materials and workmanship warranties on the quality of the installation. At RHIVE Construction, we only use manufacturer-approved components to uphold these warranties. Unlike other contractors who may mix and match materials to save money, which can void the manufacturer’s warranty, RHIVE ensures that every component used is compliant with the manufacturer's requirements, ensuring the integrity and longevity of your roof.
Common Roofing Problems and Solutions
Leaks and Water Damage: Often caused by missing shingles, improper installation, or damaged flashing. Prevented by regular inspections, prompt repairs, and replacement.
Ventilation Issues: Poor ventilation can cause moisture buildup and damage. Proper installation of ridge and soffit vents can prevent these issues.
Shingle Deterioration: Age, UV exposure, and severe weather can cause shingle wear and tear. Proper maintenance and timely replacement are essential.
Owens Corning Roofing System and Products
Introduction to Owens Corning
Company Overview: Owens Corning is a leading manufacturer of roofing products known for their innovation, quality, and commitment to energy efficiency and sustainability.
Owens Corning Roofing Products
Why Owens Corning
Shingles: Owens Corning offers a range of shingles to meet various needs and preferences:
Oakridge: A base architectural shingle with great value, designed for homeowners looking for dependable performance. Please note that RHIVE Construction does not use Oakridge shingles. We start at the Duration series, which provides higher quality, to ensure our customers receive superior durability and performance.
Duration Series: Including Duration, Duration STORM, Duration FLEX, and Duration Designer, these upgraded architectural shingles feature SureNail Technology for enhanced wind resistance and durability. 
Video Link
TruDefinition Duration: Known for vibrant color options and enhanced impact resistance, providing a high-end architectural finish.
Designer Shingles: A step above architectural shingles, these include premium options like Berkshire, designed for those seeking an upscale aesthetic and superior performance.
Supreme: Three-tab shingles that are now considered outdated in terms of quality and performance. RHIVE Construction does not use these shingles due to their limited durability and shorter lifespan compared to more advanced options.
Underlayment: Products like Deck Defense and ProArmor underlayment provide an extra layer of water protection beneath the shingles.
Video Link
Ice & Water Barrier: WeatherLock barrier is used in vulnerable areas like valleys to protect against ice dams and water intrusion.
Ventilation Systems: VentSure ventilation products improve airflow, reducing moisture buildup and prolonging the roof's life.
Hip and Ridge Shingles: Designed for the ridgeline of the roof, providing both a finished look and enhanced protection.
Starter Shingles: Used along the eaves and rakes for a solid foundation before installing the main shingles.
Flashing and Sealants: Owens Corning offers accessories to ensure watertight roof installations, including high-quality sealants that provide additional protection at vulnerable areas.
Step Flashing: Installed where the roof meets a vertical wall, such as around chimneys or dormers, and is placed in layers to direct water away from these intersections.
Counter Flashing: Typically installed over step flashing or directly into masonry to further protect against water penetration by sealing and directing water away from critical areas. At RHIVE Construction, we ensure both types are properly installed, along with appropriate sealants, to maintain roof integrity.
Video Link
Owens Corning Roofing System Integration
Total Protection Roofing System: This system approach integrates shingles, underlayment, ventilation, and barrier products for a complete, durable roofing solution.
SureNail Technology: A patented strip embedded into shingles, making them stronger and resistant to high winds.
Energy Efficiency and Sustainability: Owens Corning products include ENERGY STAR-rated options, reducing heat absorption and contributing to lower energy costs.
Owens Corning Product Benefits and Differentiation
Key Differentiators: SureNail Technology, TruDefinition color technology, and ENERGY STAR ratings set Owens Corning apart from competitors.
Comparing with Competitors: Owens Corning is often compared to other major brands like GAF and CertainTeed, with a focus on durability and aesthetic options.
Warranty Programs
Preferred Protection Limited Warranty: This is the warranty RHIVE Construction currently offers, providing comprehensive protection when Owens Corning products are installed. It covers both materials and workmanship, giving homeowners peace of mind. Additionally, RHIVE Construction offers a lifetime no-leak guarantee on our workmanship, far surpassing the typical two to five-year workmanship guarantees offered by other contractors. This guarantee reflects our commitment to quality and customer satisfaction.
Platinum Protection Warranty: While RHIVE follows the installation practices required for Owens Corning's Platinum Protection Warranty, we currently offer the Preferred Protection Limited Warranty, which still ensures extensive coverage and quality.
GAF Commercial Warranty
 For our commercial roofing projects, RHIVE Construction offers GAF commercial warranties. These warranties provide robust coverage for GAF PVC and membrane systems, ensuring high-quality protection for commercial roofs. GAF's warranties can include options such as the Weather Stopper System Plus Limited Warranty, which offers extended coverage when installed by a certified contractor, and the NDL (No Dollar Limit) Warranty, which covers both materials and labor without a cap on payout, offering clients superior peace of mind. By utilizing GAF's complete commercial roofing system, we ensure all warranty requirements are met for long-lasting, durable roofing solutions.
]
Index: []

--- Project Design Specialist ---
Empty DataFrame
Columns: [Proj Design Specialist contract
Date: 7/7/25
Between: RHIVE Construction ("Company")
And: DBA contractor name here ("Contractor")
Address: 
Email: 

This Agreement outlines the terms of engagement for the independent contractor services provided by the Contractor to the Company, effective as of the final signature date below.
We are excited to partner with your business. This is a commission-based opportunity for a motivated independent professional to manage their own business activities while representing the RHIVE Construction brand. As a Project Design Specialist, you will generate leads, develop quotes, secure contracts, and ensure successful project outcomes.
1. Nature of the Relationship: Independent Contractor Status
You are an independent contractor, not an employee, agent, joint venturer, or partner of RHIVE Construction. Accordingly:
You are not eligible for employee benefits (e.g., health insurance, retirement plans, paid time off).
You are solely responsible for all federal, state, and local taxes, including self-employment taxes. RHIVE will report earnings on IRS Form 1099-NEC without withholding taxes.
You must provide your own tools, equipment, vehicle, and office supplies.
Insurance Requirements: Per Utah law, you must maintain general liability and workers’ compensation insurance. Proof of insurance must be provided within 14 days of signing this agreement.
This is a non-exclusive relationship.
2. Scope of Services & Responsibilities
As a Project Design Specialist, you will independently manage the project lifecycle, including:
Business Development: Sourcing and generating leads through your chosen methods.
Quoting & Sales: Inspecting properties, preparing quotes using RHIVE’s systems, presenting solutions, and securing signed contracts and deposits.
Project Coordination: Serving as the client’s primary contact and coordinating with installation crews to meet project milestones, following manufacturer guidelines for warranty compliance.
Administration: Maintaining accurate, timely records in RHIVE’s CRM system.
Points of Contact: Michael and Kara Robinson for project coordination, system support, and contract processing.
3. Performance Tiers & Advancement
RHIVE offers a tiered structure to recognize performance and increase earning potential, based on objective milestones. This reflects a business relationship progression, not employment.
Initial Milestone (First 60 Days): Secure approximately 4 projects totaling $50,000+ in contract value within 60 days to advance to the Builder tier.
Advancement Criteria: Higher tiers (Lead, Mentor) are based on metrics like total contract value and completed projects (see Compensation section).
4. Compensation & Commission Structure
Compensation is 100% commission-based, calculated on the Commissionable Gross Profit (CGP).
Calculation Steps
Gross Profit (GP): GP = Final Contract Value – Direct Project Costs
Direct Costs: Materials, Labor, Immediate Overhead (e.g., dumpsters, permits, delivery fees).
Company Retention: Deducted from GP for RHIVE’s overhead, warranties, and support:
$1,000 for the first $50,000 of contract value.
Plus 2% of contract value between $50,001 and $150,000.
Plus 3% of contract value above $150,000.
Commissionable Gross Profit (CGP): CGP = GP – Company Retention
Commission Rate: Applied to CGP based on your tier.
Commission Payment Schedule
At Contract Signing & Deposit: First portion paid after the client signs and the deposit clears, based on estimated GP.
At Project Completion: Final portion paid after project completion, final payment collection, and Certificate of Completion (COC), adjusted for actual GP.
Performance Tiers & Commission Rates (% of CGP)
Role Tier
Total CGP Earned
Sales Only (Deposit)
Sales Only (Completion)
PM Only (Deposit)
PM Only (Completion)
Sales + PM (Deposit)
Sales + PM (Completion)
Scout
30%
10.5%
4.5%
10.5%
4.5%
15%
15%
Builder
40%
14%
6%
14%
6%
20%
20%
Lead
50-55%
17.5%
7.5%
17.5%
7.5%
25%
25%
Mentor
60-65%
21%
9%
21%
9%
30%
30%

Final payouts adjust to actual costs at completion.

]
Index: []

--- Terms ---
Empty DataFrame
Columns: [TERMS





INITIAL INVESTMENT:
RETAIL:
A 50% initial investment is required to be approved and scheduled.
All major credit cards, checks*, cash, and money orders are accepted.
Please Note: Credit Card processing fees are distinct third-party charges and are not included in the quoted amount. A processing fee (approx. 3.0% - 3.5%) will be applied to all credit card transactions.
Checks are to be made out to RHIVE Construction.
Financing options are available O.A.C. Approval must be confirmed prior to Permitting Commencement.
INSURANCE:
The Actual Cash Value (ACV) payment and the deductible are required upfront for permitting and project approval.

INVESTMENT SCHEDULE:
RETAIL:
50% investment due at agreement signing
40% investment due upon  final roof installation day
10% -  remaining investment due upon 100% project completion (including punch list items, additional trades, etc.)
For repairs of $2500 or less, full payment is required upfront.

INSURANCE:
Initial Investment ACV & Deductible are required for permitting commencement. 
This includes the full approved ACV amount, subject to adjustments for previously overlooked labor or materials. These can be added and sent as additional amounts at any given time. 
Release of Remaining Insurance Proceeds: 
Directly issued to RHIVE Construction as Payee.
Due upon client receipt if RHIVE Construction was not listed as Primary Payee
Grace periods will be allotted to accommodate processing times.
COMMERCIAL & STRATEGIC ACCOUNTS:
For established Commercial Accounts (e.g., Industrial Accounts, Management Accounts), payment terms are governed by the specific Master Service Agreement (MSA).
In the absence of a specific MSA, Standard Retail Terms apply (50% Initial Investment required to commence permitting).
Performance Clause: To protect project momentum, if a Commercial Account fails to adhere to agreed payment timelines, RHIVE Construction reserves the right to immediately revert the account to Standard Retail Terms (50% Deposit) for all future projects until the account is in good standing.

The Homeowner/Agent is liable for costs of necessary work not covered by insurance, particularly for compliance with building codes or pre-existing damage not caused by the insured event.


DIRECT INSURANCE PROCEEDS CLAUSE:
Initial Investment: 
The first released proceeds (ACV Check) and the deductible are required for permitting and approval. 
Note that the first check often includes the mortgage company as a payee and cannot be issued directly to RHIVE Construction. Homeowners are responsible for ensuring that these funds are managed accordingly to facilitate the start of the project.
Release of Remaining Insurance Proceeds:
Subsequent insurance payments, especially the final check which typically does not include the mortgage company, must be issued directly to RHIVE Construction. These proceeds are due upon the homeowner’s receipt of the funds. The due date for these payments, along with any grace period for late fees, will commence from the date these funds are received. If insurance payments are delayed beyond two weeks post-project completion, the homeowner is responsible for immediate payment, after which late fees will apply.


Direct Insurance Proceeds Authorization Clause:

"I, the undersigned Homeowner/Agent, hereby authorize and direct my insurance company to issue payment directly to RHIVE Construction for the services performed under Claim Number: ___________________. This authorization is given in accordance with the terms outlined in the Direct Insurance Proceeds Clause of this agreement. By this authorization, I approve RHIVE Construction to receive the insurance proceeds related to the specified claim as payment for their services."

Homeowner/Agent Signature: _____________________________
Date: _______________________




CANCELATION:

Home Improvement Contracts signed outside of RHIVE Construction's place of business have a 3-day right of rescission without penalty. After the rescission period, the contract cannot be canceled unless agreed upon in writing by both parties. If canceled without written consent, the down payment will be forfeited. If cancellation is allowed, RHIVE Construction will invoice for services performed to date. Work begins upon contract signing, requiring compensation.

Waiver of 3-Day Right of Rescission: By signing below, the Homeowner/Agent acknowledges waiving their 3-day right to cancel the contract without penalty. The project may commence immediately upon signing.

Homeowner/Agent: _____________________________          Date: _______________________


PAYMENT SCHEDULE DEFAULT/ FINAL PAYMENT/ LATE FEES:

1. Payment Terms for Retail Customers:

Initial Payment:
 50% of the contract total is due upon signing the contract and commencing the project.
Second Payment:
 40% of the contract total is due upon substantial completion of the roofing installation.
Final Payment:
 The remaining balance of the contract total is due upon receipt of the invoice once the project is 100% complete, including punch list items and completion of any additional trades.

2. Payment Terms for Insurance Claims:

Initial Payment:
 Actual Cash Value (ACV) and deductible are required upfront to commence work and for necessary permits.
Release of Additional Insurance Proceeds:
 Proceeds should be forwarded to RHIVE Construction promptly as they are released by the insurance.
Final Payment: 
Due two weeks after the insurance has been billed with final invoices and documentation. 

Homeowners have an additional 7 days after this period to make the payment.

3. Late Payment Penalties (Applicable to Both Retail and Insurance):

Immediate Penalties:
 If any scheduled payment is not made within 7 days of its due date, a late fee of 5% of the due amount or $100 (whichever is greater) will be applied.
Continued Delinquency: 
At 30 days past due, an interest rate of 2% of the outstanding balance will accrue and compound every 30 days until full payment is received.
Contractor’s Lien and Legal Actions: 
Failure to clear payments may lead RHIVE Construction to place a Contractor’s Lien on the property. Additional lien fees of 5% of the contract total or $250 (whichever is greater) will be charged, along with any accumulated late fees. Legal proceedings may incur further fees, and the prevailing party will be entitled to attorney fees.

4. Breach of Payment Terms:

Any deviation from the outlined payment terms is considered a significant breach of the contract. RHIVE Construction reserves the right to cancel, retract, or nullify any previously granted discounts, credits, offers, or deductions in case of default

Returned Check Fee: 
A fee of $85 will be charged for any returned check.

5. Specific Conditions for Retail Payments:

Delays in payment may lead to project delays and additional administrative fees as necessary to cover incurred damages such as late fees from suppliers and overhead costs.



PROTECTION AGAINST LIENS AND CIVIL ACTION

Notice is hereby given under Utah Code 38-11-108 that under Utah law “owner” may be protected against liens being maintained against an “owner-occupied residence” and from other civil action being maintained to recover monies owed for “qualified services” performed or provided by suppliers and subcontractors as a part of this contract if either of the below sections is met:

Section 1

 The owner entered into a written law with an original contractor, a factory-built housing retailer, or a real-estate developer.
The original contractor was properly licensed or exempt from licensure under Title 58, Chapter 55 Utah Construction Trades Licensing Act, at the time the contract was executed.
The owner paid in full the contracting entity following the written contract and any written or oral amendments to said contract.


Section 2

The amount of the general contract between the owner and the original contractor totals no more than $5,000.

** An Owner who can establish compliance with either of the above sections (1 or 2) may perfect the owner’s protection by applying for a Certificate of Compliance with the Division of Occupational and Professional Licensing.  The application is available at www.dopl.utah.gov/rlrf



WOOD REPLACEMENT

As needed and authorized by the Homeowner/Agent, wood replacement will be conducted as follows:

Wood delivery trip cost same-hour trailer delivery: $250

Remove and Replace (R&R):

7/16 OSB Sheathing:
Replace with a 4x8 sheet of 7/16 OSB.
Total Cost: $72.50 per sheet ($2.27 per sq. ft.), increasing by $7 for each slope increment.

19/32 Sheathing:
Replace with a 4x8 sheet of 19/32 sheathing.
Total Cost: $77.50 per sheet ($2.42 per sq. ft.), increasing by $7 for each slope increment.

1” x 6” Slat Board Roof Planking:
Replace with new 1” x 6” boards.
Total Cost: $52.50 per board ($6.56 per linear ft.), increasing by $5 for each slope increment.

General Conditions:

Pricing is subject to change due to fluctuations in material costs.
The above prices include a 20% markup, all material labor overhead and margin must be considered for an accurate quote.


WARRANTIES

Warranties will be registered and available only once payment is received in full. Any unpaid balance on services registered will result in a voided warranty. All labor warranties are provided solely by RHIVE Construction, including our 50-Year Installer-No-Leak Guarantee, unless otherwise specified. All material warranties are provided by the specific manufacturer. The Homeowner/Agent is responsible for maintaining gutters and ice damming. RHIVE Construction shall not be held liable for damages due to ice, all acts of god, and mechanical damage caused by anyone other than RHIVE Construction.


CUSTOMER RESPONSIBILITIES & SITE SAFETY:
Sprinkler System Deactivation: To ensure a safe working environment and prevent damage to equipment and property, the Client must completely turn off all sprinkler and irrigation systems for the entire duration of the project (from material delivery through final cleanup).
Liability for Non-Compliance: If the sprinkler system is not deactivated and causes unsafe working conditions (e.g., slip hazards for crew) or damage to RHIVE Construction's equipment or materials, the Client assumes full liability for all resulting damages, delays, and safety violations.


CLEAN UP AND LIABILITY DISCLAIMER:

RHIVE Construction commits to responsible clean-up of debris post-construction, but cannot guarantee removal of all debris.
RHIVE is not liable for personal injuries or property damage from leftover debris, nor for damages due to natural weather events during construction.
Homeowners/Agents are advised to inspect the project area for any missed debris to prevent potential damage, especially before using the area.




OTHER

ADDITIONAL TRADE WORK:

Homeowner Communication & Approval for Unforeseen Expenses:
Communication Channels and Response Time:
 RHIVE Construction will use at least two different communication channels (e.g., email, phone, text message) to update the homeowner on project progress and any unforeseen expenses. Homeowners are required to respond within one hour of contact during business hours, specifically on their installation days, to ensure timely decision-making.
Automatic Approval in Case of Non-Response:
If unforeseen work is identified during the project, RHIVE will notify the Homeowner/Agent with documentation and a quote. If no response is received within one hour after reasonable contact attempts, RHIVE may proceed with the necessary work—up to 5% of the total contract value—to meet minimum building code and safety standards. All work will be fully documented and included in the final invoice.
Financial Responsibility: 
The homeowner agrees that any costs incurred from these automatically approved unforeseen expenses are due immediately upon installation. This clause ensures that project progress is not delayed by communication lapses.
Importance of Timely Decisions: 
Homeowners are strongly encouraged to stay actively involved and responsive during their project, especially on installation days, to prevent automatic approvals. Being well-informed about their insurance coverage and the relevant building code requirements will help homeowners make swift, informed decisions.
HOMEOWNER AVAILABILITY:
The homeowner must remain readily available to make decisions regarding unforeseen expenses to avoid delays. Inefficiencies in decision-making can lead to significant project hold-ups.
DELAY FEE CLAUSE:
Any delay caused by the homeowner’s unavailability to make timely decisions during the project will incur a delay fee. This fee covers the operational cost of maintaining the crew on-site and is charged at a rate of $350 per hour. This charge is designed to compensate for the financial impact of project delays and is enforceable upon the occurrence of such delays of 2HR’s or greater.
Layers: 
RHIVE Construction will make every effort to determine the number of roofing layers. An additional charge will apply if more layers need to be torn off than specified in the agreement.
Schedule:
 The estimated schedule is not guaranteed and may be impacted by weather. RHIVE Construction will keep the Homeowner/Agent updated on the start date.
Access to Property:
The Homeowner/Agent must provide access to the property during the project.
Swamp Coolers:
The position of the swamp cooler may need to be adjusted after the work is completed, and RHIVE Construction is not responsible for these adjustments.
Satellite Dishes:
RHIVE Construction is not responsible for the positioning of satellite dishes.
Siding and Other Work: 
Siding removal/replacement is not part of the contract unless specified in writing.
Gutters: 
The gutters may need to be adjusted after the roofing project and the cost is the Homeowner/Agent's responsibility.
Extra Materials: 
RHIVE Construction will have a few extra materials for production purposes, and these materials belong to RHIVE Construction.
Heavy Equipment: 
RHIVE Construction may need to park or drive heavy equipment on the property, and the Homeowner/Agent acknowledges that this is at their own risk.
Electrical: 
The Homeowner/Agent must provide a standard 120 V outlet and acknowledges that RHIVE Construction is not responsible for any electrical problems that may arise during the project.



Estimated Schedule Backlog: 
The requested completion date is contingent on RHIVE Construction 
Management's approval may change due to weather delays or other unforeseen problems.
Updated Terms & Conditions
For a detailed overview of our latest Terms & Conditions, please visit the following link: 
[New Agreement Terms 2024 https://zpr.io/4Za5hgYePu7L]. We encourage all our clients to review these updates to understand the changes that may affect their services and responsibilities.
By continuing to use our services, you agree to be bound by the revised Terms & Conditions. If you have any questions regarding these terms, please contact us at:
[RHIVE Construction; www.rhiveconstruction.com;4354176637; office@rhiveconstruction.com ].
Thank you for choosing RHIVE Construction. We are committed to providing you with quality services and transparent communications.

CUSTOMER INITIAL: _____________ 

By agreeing, the Homeowner/Agent acknowledges these risks and responsibilities.

RHIVE Construction Representative:_________________________ Date:_______________ 


Customer Signature:_________________________________ Date:_______________ 


Customer Signature:_________________________________ Date:_______________
]
Index: []

--- Holdings 20YR plan ---
Empty DataFrame
Columns: [20-YEAR MASTER PLAN 
I. Executive Vision: The "Triple-Flag" Dominance Strategy
The Thesis: The construction market is fragmented. To truly dominate a city, one brand is not enough. You must control the "Shelf Space" of the market.
The Solution: We are building a National Infrastructure Grid powered by Qubit Turnkey. In every target city (State Capital), we deploy not one, but THREE distinct construction brands, all powered by the same central AI engine.
The Strategy:
RHIVE Construction (The Pioneer): Enters first. Premium branding, high-tech, high-margin.
OpCo 2 (The Challenger): Enters Year 2. Mid-market pricing, high volume, speed-focused.
OpCo 3 (The Specialist): Enters Year 3. Niche focus (e.g., Commercial-Only or Economy).
The Endgame: When a homeowner in Boise Googles "Roofers near me," they see three top options. We own all three.
The "One-Third" Valuation: What $17.1 Billion Means
Our goal is to capture 33% (1/3) of the total addressable market in our active territories. This $17.1 Billion annual revenue target is derived from the following sector breakdown:
Residential Roofing (The Volume Engine):
Market Share Target: 40% of leads in active zones.
Projected Value: $5.8 Billion.
Logic: Dominated by RHIVE (Premium) and OpCo 2 (Volume). Driven by storm restoration and retail replacement cycles.
Commercial Roofing (The High-Ticket Engine):
Market Share Target: 25% of regional contracts.
Projected Value: $5.2 Billion.
Logic: Warehouses, Retail Centers, Office Parks. Driven by OpCo 3 (Specialist) and RHIVE Commercial Division. High square footage, recurring maintenance contracts.
Industrial & Government (The Stability Engine):
Market Share Target: 20% of public sector bids.
Projected Value: $4.5 Billion.
Logic: Schools, Military Bases, Municipal Buildings. Requires high bonding capacity and compliance (AssetCo strength). Recession-proof revenue streams.
Service & Maintenance (The Recurring Engine):
Market Share Target: 35% of local maintenance agreements.
Projected Value: $1.6 Billion.
Logic: "RHIVE Care" subscriptions. Annual inspections, minor repairs, and gutter cleaning. High margin, low overhead, keeps competitors off our roofs.
Total Annual Revenue Potential: $17.1 Billion
II. Corporate Structure: The "HoldCo" Architecture
To maximize asset protection and valuation, the empire is structured as a Hub-and-Spoke Conglomerate.
1. THE PARENT: RHIVE QUANTUM HOLDINGS (The "HoldCo")
Legal Status: Ultimate Parent Entity.
Ownership: Kara Robinson (100% Equity).
Function:
Owns 100% equity in all OpCos, TechCo, and Asset Co.
Capital Allocation: Takes profit from the mature "RHIVE" brand to fund the launch of "OpCo 2" and "OpCo 3."
2. DIVISION A: THE CONSTRUCTION GRID (The "OpCos")
The Operating Companies. Each city will eventually house a "Triad" of companies.
Market A: Salt Lake City (The Prototype Triad)
Brand 1: RHIVE CONSTRUCTION (Active)
Positioning: Premium, "Tech-Noir," Certified Systems.
Pricing Strategy: Full Transparency. Quotes explicitly show Material, Labor, Overhead, and Profit breakdown. This builds high trust with analytical buyers who want to know exactly what they are paying for.
Role: The R&D Lab. Validates the software.
Brand 2:
$$NAME TBD$$
(Launching Year 2)
Positioning: "The People's Roofer." Value-driven, rapid install. Captures the leads RHIVE rejects.
Pricing Strategy: Standard Market Bid. Quotes show a simple "Total Investment" or lump sum. Designed for customers who want simplicity and speed over granular data.
Strategy: Uses the exact same Qubit Turnkey backend but with a different logo and pricing display.
Brand 3:
$$NAME TBD$$
(Launching Year 4)
Positioning: Commercial & Industrial Specialists.
Pricing Strategy: Scope-Based Bid. Lump sum pricing tailored for corporate procurement and RFP requirements.
Market B: Boise, Idaho (The Expansion Triad)
Brand 1: RHIVE BOISE (Launching End of Year 1)
Role: The Pioneer. Establishes the supply chain and local relationships.
Brand 2:
$$BOISE BRAND 2$$
(Launching Year 3)
Role: The Market Share Expander.
Brand 3:
$$BOISE BRAND 3$$
(Launching Year 5)
Role: The Dominator.
(This pattern repeats for Phoenix, Denver, etc.)
3. DIVISION B: THE TECHNOLOGY ENGINE (The "TechCo")
The Central Brain. This is the "Unfair Advantage."
Entity: QUBIT TURNKEY
Status: In Development.
Product: The "Growth Operating System" (CRM + Auto-Marketing + AI Dispatch).
The "One-to-Many" Model:
Qubit Turnkey automates the operations for RHIVE, Brand 2, and Brand 3 simultaneously.
Shared Resources: The AI Dispatcher sends a crew to a RHIVE job on Monday and a Brand 2 job on Tuesday. The backend is unified; the frontend is separate.
Valuation Goal: 10x-15x Revenue (SaaS Multiple).
4. DIVISION C: THE ASSET VAULT (The "AssetCo")
Wealth Preservation & Equipment Consolidation.
Entity: ASSET CO
Status: Formation.
Role: The Central Rental Agency.
Why This Structure is Critical:
Instead of RHIVE buying a crane and Brand 2 buying a crane (doubling the cost), ASSET CO buys ONE crane.
Leasing Model: ASSET CO leases the crane/trucks/warehouse space to whichever OpCo needs it that day.
Benefit: Maximizes equipment utilization (assets never sit idle) and protects the expensive assets from lawsuits against the roofing companies.
III. The 20-Year Rollout: The "Drafting" Technique
We use the success of the first brand to "draft" the second and third brands into the market.
Phase 1: Year 1 (The Foundation - Utah Pilot)
Market: Salt Lake City (RHIVE Active) & Launch Boise.
Operational Goal: Fully deploy the 10-stage automated customer journey.
Lead Target: Enter 50,000 qualified leads into the system statewide.
Project Target: Close ~3,300 projects annually per company.
Team Structure (Utah):
6 Project Managers (managing 640 projects/year each).
Shared Canvasser/PR Team (feeding the 50k leads).
Validated Capabilities: Residential Retail & Insurance Restoration.
Financial Target: ~$3M in sales (Utah Pilot).
Phase 2: Year 2 (Optimization & Incremental Growth)
Market: Salt Lake City.
Strategy: Optimization. Refine automation to reduce manual interventions and boost conversion rates by 10-15%.
Expansion: Launch OpCo 2 (SLC) to capture price-sensitive leads.
Financial Target: Grow revenue 100-300% YoY from pilot baseline.
Capability: Property Management & Multi-Family projects fully online.
Phase 3: Year 3 (Regional Expansion & Sister Companies)
Geographic: Replicate the Utah model in 2 additional states (bordering Utah).
Sister Company Generation: 2 sister companies come online in Utah with individual teams/systems.
